Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[individual]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[disease]	Characteristics[organism part]	Characteristics[sampling site]	Characteristics[FACS sorting]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Comment[cdna read]	Comment[cdna read offset]	Comment[cdna read size]	Comment[cell barcode offset]	Comment[cell barcode read]	Comment[cell barcode size]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[sample barcode offset]	Comment[sample barcode read]	Comment[sample barcode size]	Comment[single cell isolation]	Comment[spike in]	Comment[umi barcode offset]	Comment[umi barcode read]	Comment[umi barcode size]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[BAM_URI]	Comment[read1 file]	Comment[FASTQ_URI]	Comment[read2 file]	Comment[FASTQ_URI]	Comment[index file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[disease]	Factor Value[sampling site]	Factor Value[FACS sorting]
4820STDY7388991	ERS3579578	SAMEA5776041	Homo sapiens	s1	adult	female	normal	skin of body	dermis	fibroblasts	cell	P-MTAB-87566	Newcastle University	P-MTAB-87567	Newcastle University	P-MTAB-87568	Newcastle University	4820STDY7388991	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	50	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	messenger RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-87569	Sanger Institute  DNA Pipelines Operations	4820STDY7388991	sequencing assay	ERX3458562	4820STDY7388991.bam	4820STDY7388991.bam	ERR3436539	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR343/ERR3436539/4820STDY7388991.bam	4820STDY7388991_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7388991_S1_L001_R1_001.fastq.gz	4820STDY7388991_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7388991_S1_L001_R2_001.fastq.gz	4820STDY7388991_S1_L001_I1_001.fastq.gz	P-MTAB-87570	arrayexpress_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/E-MTAB-8142.processed.1.zip	normal	dermis	fibroblasts
4820STDY7388992	ERS3579579	SAMEA5776042	Homo sapiens	s1	adult	female	normal	skin of body	dermis	dermal lymphoid	cell	P-MTAB-87566	Newcastle University	P-MTAB-87567	Newcastle University	P-MTAB-87568	Newcastle University	4820STDY7388992	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	50	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	messenger RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-87569	Sanger Institute  DNA Pipelines Operations	4820STDY7388992	sequencing assay	ERX3458563	4820STDY7388992.bam	4820STDY7388992.bam	ERR3436540	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR343/ERR3436540/4820STDY7388992.bam	4820STDY7388992_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7388992_S1_L001_R1_001.fastq.gz	4820STDY7388992_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7388992_S1_L001_R2_001.fastq.gz	4820STDY7388992_S1_L001_I1_001.fastq.gz	P-MTAB-87570	arrayexpress_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/E-MTAB-8142.processed.1.zip	normal	dermis	dermal lymphoid
4820STDY7388993	ERS3579580	SAMEA5776043	Homo sapiens	s1	adult	female	normal	skin of body	dermis	endothelium	cell	P-MTAB-87566	Newcastle University	P-MTAB-87567	Newcastle University	P-MTAB-87568	Newcastle University	4820STDY7388993	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	50	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	messenger RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-87569	Sanger Institute  DNA Pipelines Operations	4820STDY7388993	sequencing assay	ERX3458564	4820STDY7388993.bam	4820STDY7388993.bam	ERR3436541	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR343/ERR3436541/4820STDY7388993.bam	4820STDY7388993_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7388993_S1_L001_R1_001.fastq.gz	4820STDY7388993_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7388993_S1_L001_R2_001.fastq.gz	4820STDY7388993_S1_L001_I1_001.fastq.gz	P-MTAB-87570	arrayexpress_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/E-MTAB-8142.processed.1.zip	normal	dermis	endothelium
4820STDY7388994	ERS3579581	SAMEA5776044	Homo sapiens	s1	adult	female	normal	skin of body	dermis	dermal myeloid	cell	P-MTAB-87566	Newcastle University	P-MTAB-87567	Newcastle University	P-MTAB-87568	Newcastle University	4820STDY7388994	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	50	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	messenger RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-87569	Sanger Institute  DNA Pipelines Operations	4820STDY7388994	sequencing assay	ERX3458565	4820STDY7388994.bam	4820STDY7388994.bam	ERR3436542	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR343/ERR3436542/4820STDY7388994.bam	4820STDY7388994_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7388994_S1_L001_R1_001.fastq.gz	4820STDY7388994_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7388994_S1_L001_R2_001.fastq.gz	4820STDY7388994_S1_L001_I1_001.fastq.gz	P-MTAB-87570	arrayexpress_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/E-MTAB-8142.processed.1.zip	normal	dermis	dermal myeloid
4820STDY7388995	ERS3579582	SAMEA5776045	Homo sapiens	s1	adult	female	normal	skin of body	epidermis	epidermal myeloid	cell	P-MTAB-87566	Newcastle University	P-MTAB-87567	Newcastle University	P-MTAB-87568	Newcastle University	4820STDY7388995	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	50	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	messenger RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-87569	Sanger Institute  DNA Pipelines Operations	4820STDY7388995	sequencing assay	ERX3458566	4820STDY7388995.bam	4820STDY7388995.bam	ERR3436543	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR343/ERR3436543/4820STDY7388995.bam	4820STDY7388995_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7388995_S1_L001_R1_001.fastq.gz	4820STDY7388995_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7388995_S1_L001_R2_001.fastq.gz	4820STDY7388995_S1_L001_I1_001.fastq.gz	P-MTAB-87570	arrayexpress_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/E-MTAB-8142.processed.1.zip	normal	epidermis	epidermal myeloid
4820STDY7388996	ERS3579583	SAMEA5776046	Homo sapiens	s1	adult	female	normal	skin of body	epidermis	keratinocytes CD49f-	cell	P-MTAB-87566	Newcastle University	P-MTAB-87567	Newcastle University	P-MTAB-87568	Newcastle University	4820STDY7388996	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	50	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	messenger RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-87569	Sanger Institute  DNA Pipelines Operations	4820STDY7388996	sequencing assay	ERX3458567	4820STDY7388996.bam	4820STDY7388996.bam	ERR3436544	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR343/ERR3436544/4820STDY7388996.bam	4820STDY7388996_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7388996_S1_L001_R1_001.fastq.gz	4820STDY7388996_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7388996_S1_L001_R2_001.fastq.gz	4820STDY7388996_S1_L001_I1_001.fastq.gz	P-MTAB-87570	arrayexpress_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/E-MTAB-8142.processed.1.zip	normal	epidermis	keratinocytes CD49f-
4820STDY7388997	ERS3579584	SAMEA5776047	Homo sapiens	s1	adult	female	normal	skin of body	epidermis	keratinocytes CD49f+	cell	P-MTAB-87566	Newcastle University	P-MTAB-87567	Newcastle University	P-MTAB-87568	Newcastle University	4820STDY7388997	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	50	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	messenger RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-87569	Sanger Institute  DNA Pipelines Operations	4820STDY7388997	sequencing assay	ERX3458568	4820STDY7388997.bam	4820STDY7388997.bam	ERR3436545	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR343/ERR3436545/4820STDY7388997.bam	4820STDY7388997_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7388997_S1_L001_R1_001.fastq.gz	4820STDY7388997_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7388997_S1_L001_R2_001.fastq.gz	4820STDY7388997_S1_L001_I1_001.fastq.gz	P-MTAB-87570	arrayexpress_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/E-MTAB-8142.processed.1.zip	normal	epidermis	keratinocytes CD49f+
4820STDY7388998	ERS3579585	SAMEA5776048	Homo sapiens	s1	adult	female	normal	skin of body	epidermis	epidermal lymphoid	cell	P-MTAB-87566	Newcastle University	P-MTAB-87567	Newcastle University	P-MTAB-87568	Newcastle University	4820STDY7388998	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	50	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	messenger RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-87569	Sanger Institute  DNA Pipelines Operations	4820STDY7388998	sequencing assay	ERX3458569	4820STDY7388998.bam	4820STDY7388998.bam	ERR3436546	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR343/ERR3436546/4820STDY7388998.bam	4820STDY7388998_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7388998_S1_L001_R1_001.fastq.gz	4820STDY7388998_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7388998_S1_L001_R2_001.fastq.gz	4820STDY7388998_S1_L001_I1_001.fastq.gz	P-MTAB-87570	arrayexpress_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/E-MTAB-8142.processed.1.zip	normal	epidermis	epidermal lymphoid
4820STDY7388999	ERS3579586	SAMEA5776049	Homo sapiens	s2	adult	female	normal	skin of body	dermis	fibroblasts	cell	P-MTAB-87566	Newcastle University	P-MTAB-87567	Newcastle University	P-MTAB-87568	Newcastle University	4820STDY7388999	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	50	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	messenger RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-87569	Sanger Institute  DNA Pipelines Operations	4820STDY7388999	sequencing assay	ERX3458570	4820STDY7388999.bam	4820STDY7388999.bam	ERR3436547	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR343/ERR3436547/4820STDY7388999.bam	4820STDY7388999_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7388999_S1_L001_R1_001.fastq.gz	4820STDY7388999_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7388999_S1_L001_R2_001.fastq.gz	4820STDY7388999_S1_L001_I1_001.fastq.gz	P-MTAB-87570	arrayexpress_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/E-MTAB-8142.processed.1.zip	normal	dermis	fibroblasts
4820STDY7389000	ERS3579587	SAMEA5776050	Homo sapiens	s2	adult	female	normal	skin of body	dermis	dermal lymphoid	cell	P-MTAB-87566	Newcastle University	P-MTAB-87567	Newcastle University	P-MTAB-87568	Newcastle University	4820STDY7389000	RNA	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	50	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	messenger RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-87569	Sanger Institute  DNA Pipelines Operations	4820STDY7389000	sequencing assay	ERX3458571	4820STDY7389000.bam	4820STDY7389000.bam	ERR3436548	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR343/ERR3436548/4820STDY7389000.bam	4820STDY7389000_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7389000_S1_L001_R1_001.fastq.gz	4820STDY7389000_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/4820STDY7389000_S1_L001_R2_001.fastq.gz	4820STDY7389000_S1_L001_I1_001.fastq.gz	P-MTAB-87570	arrayexpress_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8142/E-MTAB-8142.processed.1.zip	normal	dermis	dermal lymphoid
