Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_subtype,cell_subtype_surface_markers,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,subject_status,tissue
SRR8478522,RNA-Seq,124,799733040,PRJNA516681,SAMN10793805,369080565,immune cells,CD45+,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX5283560,GSM3576416,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576416,Blood immune cell,SRP181666,UC,PBMC
SRR8478422,RNA-Seq,124,949936720,PRJNA516681,SAMN10793769,439940352,immune cells,CD45+,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX5283545,GSM3576401,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576401,Rectum immune cell,SRP181666,UC,rectum
SRR8478477,RNA-Seq,124,1035720292,PRJNA516681,SAMN10793813,467912400,immune cells,CD45+,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX5283552,GSM3576408,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576408,Rectum immune cell,SRP181666,control,rectum
SRR8478397,RNA-Seq,124,2817496256,PRJNA516681,SAMN10793774,1259629382,immune cells,CD45+,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX5283540,GSM3576396,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576396,Rectum immune cell,SRP181666,control,rectum
SRR8478399,RNA-Seq,124,3102261636,PRJNA516681,SAMN10793774,1367372855,immune cells,CD45+,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5283540,GSM3576396,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576396,Rectum immune cell,SRP181666,control,rectum
SRR8478401,RNA-Seq,124,1346698280,PRJNA516681,SAMN10793773,576819657,immune cells,CD45+,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX5283541,GSM3576397,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576397,Rectum immune cell,SRP181666,control,rectum
SRR8478404,RNA-Seq,124,1110926044,PRJNA516681,SAMN10793773,485684353,immune cells,CD45+,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX5283541,GSM3576397,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576397,Rectum immune cell,SRP181666,control,rectum
SRR8478412,RNA-Seq,124,2194800868,PRJNA516681,SAMN10793771,1017420616,immune cells,CD45+,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5283543,GSM3576399,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576399,Rectum immune cell,SRP181666,UC,rectum
SRR8478413,RNA-Seq,124,2064284296,PRJNA516681,SAMN10793770,956381272,immune cells,CD45+,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5283544,GSM3576400,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576400,Rectum immune cell,SRP181666,UC,rectum
SRR8478415,RNA-Seq,124,1433477696,PRJNA516681,SAMN10793770,670045609,immune cells,CD45+,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX5283544,GSM3576400,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576400,Rectum immune cell,SRP181666,UC,rectum
SRR8478423,RNA-Seq,124,1187498400,PRJNA516681,SAMN10793769,549636267,immune cells,CD45+,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX5283545,GSM3576401,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576401,Rectum immune cell,SRP181666,UC,rectum
SRR8478424,RNA-Seq,124,1308376080,PRJNA516681,SAMN10793769,609990919,immune cells,CD45+,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX5283545,GSM3576401,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576401,Rectum immune cell,SRP181666,UC,rectum
SRR8478425,RNA-Seq,124,1083017860,PRJNA516681,SAMN10793768,501123647,immune cells,CD45+,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5283546,GSM3576402,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576402,Rectum immune cell,SRP181666,UC,rectum
SRR8478435,RNA-Seq,124,1691428448,PRJNA516681,SAMN10793766,790042320,immune cells,CD45+,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX5283548,GSM3576404,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576404,Rectum immune cell,SRP181666,UC,rectum
SRR8478441,RNA-Seq,124,543727848,PRJNA516681,SAMN10793815,272124023,immune cells,CD45+,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX5283550,GSM3576406,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576406,Rectum immune cell,SRP181666,control,rectum
SRR8478449,RNA-Seq,124,806772396,PRJNA516681,SAMN10793815,394573584,immune cells,CD45+,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX5283550,GSM3576406,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576406,Rectum immune cell,SRP181666,control,rectum
SRR8478453,RNA-Seq,124,117803596,PRJNA516681,SAMN10793815,57402107,immune cells,CD45+,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX5283550,GSM3576406,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576406,Rectum immune cell,SRP181666,control,rectum
SRR8478454,RNA-Seq,124,114283360,PRJNA516681,SAMN10793815,55929384,immune cells,CD45+,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX5283550,GSM3576406,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-07-18T00:00:00Z,GSM3576406,Rectum immune cell,SRP181666,control,rectum
