Gene	Group	Tissue	regulation
JUND	AP1_family	skin	up
FOS	AP1_family	skin	up
JUNB	AP1_family	skin	up
JUN	AP1_family	skin	up
FOSL2	AP1_family	skin	up
FOSB	AP1_family	skin	up
DUSP2	MAPK_signalling	skin	up
DUSP1	MAPK_signalling	skin	up
RGCC	Cellcycle_Proliferation_Apoptosis	skin	up
PIM3	Cellcycle_Proliferation_Apoptosis	skin	up
MTRNR2L12	Cellcycle_Proliferation_Apoptosis	skin	up
PNRC1	Cellcycle_Proliferation_Apoptosis	skin	up
MAGEH1	Cellcycle_Proliferation_Apoptosis	skin	up
RAC1	Cellcycle_Proliferation_Apoptosis	skin	up
ZC3H12D	Cellcycle_Proliferation_Apoptosis	skin	up
BIRC3	Cellcycle_Proliferation_Apoptosis	skin	up
LMNA	Cellcycle_Proliferation_Apoptosis	skin	up
GADD45A	Cellcycle_Proliferation_Apoptosis	skin	up
SFPQ	Cellcycle_Proliferation_Apoptosis	skin	up
GSPT1	Cellcycle_Proliferation_Apoptosis	skin	up
TAF10	Cellcycle_Proliferation_Apoptosis	skin	up
CHD2	Cellcycle_Proliferation_Apoptosis	skin	up
MCL1	Cellcycle_Proliferation_Apoptosis	skin	up
CD5	Cellcycle_Proliferation_Apoptosis	skin	down
LTB	Cytokine_Chemokine_Signalling	skin	up
LYZ	Cytokine_Chemokine_Signalling	skin	up
SOCS3	Cytokine_Chemokine_Signalling	skin	up
SOCS1	Cytokine_Chemokine_Signalling	skin	up
KLF2	Cytokine_Chemokine_Signalling	skin	up
RELB	Cytokine_Chemokine_Signalling	skin	up
REL	Cytokine_Chemokine_Signalling	skin	up
NFKBIA	Cytokine_Chemokine_Signalling	skin	up
GEM	Cytokine_Chemokine_Signalling	skin	up
IRF2BP2	Cytokine_Chemokine_Signalling	skin	up
IRF1	Cytokine_Chemokine_Signalling	skin	up
NFKB2	Cytokine_Chemokine_Signalling	skin	up
RARRES3	Cytokine_Chemokine_Signalling	skin	up
IL7R	Cytokine_Chemokine_Signalling	skin	down
IFI6	Cytokine_Chemokine_Signalling	skin	down
HSPD1	Heatshock_stressresponse	skin	up
HSPB1	Heatshock_stressresponse	skin	up
FAM107B	Heatshock_stressresponse	skin	up
HSP90AA1	Heatshock_stressresponse	skin	up
HSPA5	Heatshock_stressresponse	skin	up
HSPH1	Heatshock_stressresponse	skin	up
UBB	Heatshock_stressresponse	skin	up
USP12	Heatshock_stressresponse	skin	up
IER5	Heatshock_stressresponse	skin	up
UBE2B	Heatshock_stressresponse	skin	up
SELENOK	Heatshock_stressresponse	skin	up
TXNIP	Heatshock_stressresponse	skin	down
TTC39C	Migration_morphogenesis	skin	up
COTL1	Migration_morphogenesis	skin	up
JMY	Migration_morphogenesis	skin	up
FMNL1	Migration_morphogenesis	skin	up
CD81	Migration_morphogenesis	skin	up
ITM2C	Migration_morphogenesis	skin	down
JAML	Migration_morphogenesis	skin	down
SELPLG	Migration_morphogenesis	skin	down
ITM2B	Migration_morphogenesis	skin	down
STMN1	Migration_morphogenesis	skin	down
ATP1B3	Metabolism	skin	up
MT1X	Metabolism	skin	up
MT1E	Metabolism	skin	up
MT2A	Metabolism	skin	up
METRNL	Metabolism	skin	up
NR4A2	Metabolism	skin	up
SLC2A3	Metabolism	skin	up
SAT1	Metabolism	skin	up
GLS	Metabolism	skin	up
ARL4C	Metabolism	skin	up
ODC1	Metabolism	skin	up
PSAP	Metabolism	skin	down
HPGD	Metabolism	skin	down
SLC1A4	Metabolism	skin	down
METTL9	Metabolism	skin	down
ARG2	Metabolism	skin	down
GAPDH	Metabolism	skin	down
SMS	Metabolism	skin	down
CD320	Metabolism	skin	down
YWHAH	Tcell_costim_activation	skin	up
GPR183	Tcell_costim_activation	skin	up
DDIT4	Tcell_costim_activation	skin	up
RUNX3	Tcell_costim_activation	skin	up
ICOS	Tcell_costim_activation	skin	up
TNFRSF9	Tcell_costim_activation	skin	up
TAGAP	Tcell_costim_activation	skin	up
CD69	Tcell_costim_activation	skin	up
TNFRSF4	Tcell_costim_activation	skin	up
SLAMF1	Tcell_costim_activation	skin	down
HLA-DQA1	Tcell_costim_activation	skin	down
HLA-DQB1	Tcell_costim_activation	skin	down
LY6E	Tcell_costim_activation	skin	down
CD96	Tcell_costim_activation	skin	down
HLA-A	Tcell_costim_activation	skin	down
LGALS1	Tcell_costim_activation	skin	down
CD247	Tcell_costim_activation	skin	down
TNFRSF4	Tcell_costim_activation	colon	up
TNFRSF18	Tcell_costim_activation	colon	up
CD7	Tcell_costim_activation	colon	up
LAG3	Tcell_costim_activation	colon	up
HLA-C	Tcell_costim_activation	colon	up
MAL	Tcell_costim_activation	colon	up
CD69	Tcell_costim_activation	colon	down
CCL20	Cytokine_Chemokine_Signalling	colon	up
LTB	Cytokine_Chemokine_Signalling	colon	up
IL17A	Cytokine_Chemokine_Signalling	colon	up
IL10	Cytokine_Chemokine_Signalling	colon	down
BHLHE40	Cytokine_Chemokine_Signalling	colon	up
IER5	Cellcycle_Proliferation_Apoptosis	colon	down
LGALS1	Cellcycle_Proliferation_Apoptosis	colon	down
MAGEH1	Cellcycle_Proliferation_Apoptosis	colon	up
PTMS	Cellcycle_Proliferation_Apoptosis	colon	up
DNPH1	Cellcycle_Proliferation_Apoptosis	colon	up
DUSP2	MAPK_signalling	colon	up
TXNIP	Heatshock_stressresponse	colon	down
