gene	type
CCL4	cytokine_chemokine
CCL5	cytokine_chemokine
CSF2	cytokine_chemokine
IFNG	cytokine_chemokine
IL13	cytokine_chemokine
IL17A	cytokine_chemokine
IL2	cytokine_chemokine
IL22	cytokine_chemokine
IL6	cytokine_chemokine
IL9	cytokine_chemokine
TNFA	cytokine_chemokine
CCR2	cytokine_chemokine_receptor
CCR5	cytokine_chemokine_receptor
CXCR3	cytokine_chemokine_receptor
CXCR6	cytokine_chemokine_receptor
IL7R	cytokine_chemokine_receptor
CD27	activation_homing
CD28	activation_homing
CD69	activation_homing
ITGAE	activation_homing
LGALS1	activation_homing
CD58	co_receptors
GITR	co_receptors
ICOS	co_receptors
KLRG1	co_receptors
PDCD1	co_receptors
GAPDH	metabolic
HIF1A	metabolic
MTOR	metabolic
BATF	transcription_factor
RORA	transcription_factor
RORC	transcription_factor
STAT3	transcription_factor
TBX21	transcription_factor
